512,555,1004,1638,2903,4553,6765
523,545,944,701,3251,4452,7219
448,508,900,1534,953,4353,6891
487,540,893,1758,3361,4616,6881
524,582,987,1880,3097,4520,6098
0.063,0.077,0.14,0.25,0.581,0.984,1.187
0.07,0.077,0.156,0.234,0.503,0.921,1.321
0.054,0.079,0.098,0.25,0.519,0.962,1.191
0.052,0.088,0.12,0.232,0.499,0.906,1.201
0.062,0.09,0.109,0.249,0.523,0.895,1.296

